trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",25,0,-282.330486775224,"{0: 9, 1: 3, 2: 6, 3: 3, 4: 4}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",25,0,-139.2258601257146,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",30,0,-111.50936293695739,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",20,0,-35.925749189034484,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",30,6,-158.76108406018514,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 3}",1
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",25,0,-130.36171945079343,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",20,12,-36.244603567591696,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",25,0,-177.10406471567813,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",25,0,-111.06957245270831,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",20,0,-60.830960475578365,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",20,0,-72.7929980079388,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",25,0,-24.198145681628166,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",20,0,-38.34130341849804,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",25,13,-39.21275861016825,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",20,8,7.842526033806864,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",20,0,27.978220829825872,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",25,11,10.175386477091052,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",30,17,23.286300660930433,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",20,0,-36.5411251736184,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",20,2,30.639960565644962,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'e': 0, 'a': 0}",30,20,19.164751540650656,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'e': 0, 'a': 0}",25,10,24.913159786435056,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'e': 0, 'a': 0}",20,8,16.371975421192513,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'e': 0, 'a': 0}",25,1,16.12987497485397,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'e': 0, 'a': 0}",20,9,-20.744293998737536,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'e': 0, 'a': 0}",20,8,23.621199550220357,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'e': 0, 'a': 0}",20,5,-3.0017867954143695,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,True,"{'e': 0, 'a': 0}",25,0,22.091589600869767,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,True,"{'e': 0, 'a': 0}",20,6,25.538661005251303,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'e': 0, 'a': 0}",20,6,25.04675547289311,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
