trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.9900498337491681, 'a': 0.5}",25,0,-87.14972960170354,"{0: 17, 1: 0, 2: 5, 3: 3, 4: 0}",0
2,False,"{'e': 0.9801986733067553, 'a': 0.5}",25,0,-74.15217885741623,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
3,False,"{'e': 0.9704455335485082, 'a': 0.5}",30,0,-158.381949685893,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
4,False,"{'e': 0.9607894391523232, 'a': 0.5}",20,0,-43.88652367539048,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
5,False,"{'e': 0.951229424500714, 'a': 0.5}",30,0,-89.75632740157832,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
6,False,"{'e': 0.9417645335842487, 'a': 0.5}",20,6,-100.58891778712339,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 2}",1
7,False,"{'e': 0.9323938199059483, 'a': 0.5}",25,0,-84.09680399896757,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
8,False,"{'e': 0.9231163463866358, 'a': 0.5}",20,0,-145.1018293485637,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
9,False,"{'e': 0.9139311852712282, 'a': 0.5}",20,0,-112.12602658650759,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
10,False,"{'e': 0.9048374180359595, 'a': 0.5}",20,0,-129.36931302879802,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
11,False,"{'e': 0.8958341352965282, 'a': 0.5}",20,0,-120.75105981599505,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
12,False,"{'e': 0.8869204367171575, 'a': 0.5}",20,0,-96.75354537392076,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
13,False,"{'e': 0.8780954309205613, 'a': 0.5}",20,0,-66.45572931824137,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
14,False,"{'e': 0.8693582353988059, 'a': 0.5}",25,0,-54.80897177660673,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
15,False,"{'e': 0.8607079764250578, 'a': 0.5}",25,0,-102.32318196883635,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
16,False,"{'e': 0.8521437889662113, 'a': 0.5}",25,0,-110.34285023222203,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
17,False,"{'e': 0.8436648165963837, 'a': 0.5}",20,0,-68.16213617888128,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
18,False,"{'e': 0.835270211411272, 'a': 0.5}",25,0,-147.28600840767083,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
19,False,"{'e': 0.8269591339433623, 'a': 0.5}",25,0,-32.984930052316095,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
20,False,"{'e': 0.8187307530779818, 'a': 0.5}",30,0,-96.33972034753059,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
21,False,"{'e': 0.8105842459701871, 'a': 0.5}",25,0,-124.41132576032632,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
22,False,"{'e': 0.8025187979624785, 'a': 0.5}",25,0,-78.45521744515652,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
23,False,"{'e': 0.794533602503334, 'a': 0.5}",35,7,-160.97858562927158,"{0: 15, 1: 2, 2: 9, 3: 0, 4: 2}",1
24,False,"{'e': 0.7866278610665535, 'a': 0.5}",20,0,-12.567931195826848,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
25,False,"{'e': 0.7788007830714049, 'a': 0.5}",20,4,7.7523851655635685,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
26,False,"{'e': 0.7710515858035663, 'a': 0.5}",20,2,-32.948464510832906,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 0}",1
27,False,"{'e': 0.7633794943368531, 'a': 0.5}",30,0,-30.553994637876826,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
28,False,"{'e': 0.7557837414557255, 'a': 0.5}",20,0,-34.20209291427605,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
29,False,"{'e': 0.7482635675785653, 'a': 0.5}",20,0,-140.79678506245315,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
30,False,"{'e': 0.7408182206817179, 'a': 0.5}",20,0,-35.68756226158481,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
31,False,"{'e': 0.7334469562242892, 'a': 0.5}",20,0,-38.97705151817894,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
32,False,"{'e': 0.7261490370736909, 'a': 0.5}",20,0,-81.67789813098477,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
33,False,"{'e': 0.7189237334319262, 'a': 0.5}",30,0,-121.28848511422383,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
34,False,"{'e': 0.7117703227626097, 'a': 0.5}",25,11,-94.52098842628253,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 2}",1
35,False,"{'e': 0.7046880897187134, 'a': 0.5}",30,14,-148.2371076005591,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 4}",1
36,False,"{'e': 0.697676326071031, 'a': 0.5}",25,0,-72.63651317824444,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
37,False,"{'e': 0.6907343306373547, 'a': 0.5}",20,0,-103.06412216392148,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
38,False,"{'e': 0.6838614092123558, 'a': 0.5}",20,0,-108.36163830353459,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
39,False,"{'e': 0.6770568744981647, 'a': 0.5}",20,5,-95.37844006966233,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 2}",1
40,False,"{'e': 0.6703200460356393, 'a': 0.5}",20,6,2.2407550586183627,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
41,False,"{'e': 0.6636502501363194, 'a': 0.5}",25,0,-41.936942319800714,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
42,False,"{'e': 0.6570468198150567, 'a': 0.5}",20,0,-115.69403637272508,"{0: 11, 1: 1, 2: 4, 3: 4, 4: 0}",0
43,False,"{'e': 0.6505090947233165, 'a': 0.5}",20,9,4.525665903267415,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
44,False,"{'e': 0.6440364210831414, 'a': 0.5}",20,0,-37.56017573111585,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
45,False,"{'e': 0.6376281516217733, 'a': 0.5}",30,0,-65.09886312129677,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
46,False,"{'e': 0.631283645506926, 'a': 0.5}",30,0,-66.88459628769613,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
47,False,"{'e': 0.6250022682827008, 'a': 0.5}",25,16,-4.4101795893468445,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
48,False,"{'e': 0.6187833918061408, 'a': 0.5}",20,0,-47.310021951806945,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
49,False,"{'e': 0.6126263941844161, 'a': 0.5}",20,0,-136.80164107760143,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",1
50,False,"{'e': 0.6065306597126334, 'a': 0.5}",20,5,-43.7388737181804,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 0}",1
51,False,"{'e': 0.6004955788122659, 'a': 0.5}",25,0,-80.95813069190334,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
52,False,"{'e': 0.5945205479701944, 'a': 0.5}",20,13,10.728477763591883,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'e': 0.5886049696783552, 'a': 0.5}",25,0,-59.9706631975615,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
54,False,"{'e': 0.5827482523739896, 'a': 0.5}",20,6,7.192634360280458,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
55,False,"{'e': 0.5769498103804866, 'a': 0.5}",20,0,-44.34721435560631,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
56,False,"{'e': 0.5712090638488149, 'a': 0.5}",25,0,-50.47073412451593,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
57,False,"{'e': 0.5655254386995371, 'a': 0.5}",25,0,-87.86006315308259,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
58,False,"{'e': 0.559898366565402, 'a': 0.5}",20,12,4.626372327255878,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
59,False,"{'e': 0.5543272847345071, 'a': 0.5}",20,0,-80.80906073560162,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
60,False,"{'e': 0.5488116360940265, 'a': 0.5}",20,12,11.791371421499207,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'e': 0.5433508690744998, 'a': 0.5}",30,0,-153.96250496754845,"{0: 22, 1: 0, 2: 2, 3: 4, 4: 2}",0
62,False,"{'e': 0.5379444375946745, 'a': 0.5}",20,0,-115.26434986834246,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
63,False,"{'e': 0.5325918010068972, 'a': 0.5}",25,0,-106.74380208259639,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
64,False,"{'e': 0.5272924240430485, 'a': 0.5}",20,0,-53.47539844930848,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
65,False,"{'e': 0.522045776761016, 'a': 0.5}",30,4,-106.93483390564337,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 1}",1
66,False,"{'e': 0.5168513344916992, 'a': 0.5}",30,10,8.00836518821724,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
67,False,"{'e': 0.5117085777865424, 'a': 0.5}",25,0,-90.44939549932734,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
68,False,"{'e': 0.5066169923655895, 'a': 0.5}",30,0,-6.43723672423428,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
69,False,"{'e': 0.5015760690660555, 'a': 0.5}",25,18,11.696928231908418,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'e': 0.49658530379140947, 'a': 0.5}",25,0,-36.06510134895683,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
71,False,"{'e': 0.4916441974609651, 'a': 0.5}",20,5,-1.1639049742667886,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
72,False,"{'e': 0.4867522559599717, 'a': 0.5}",20,7,10.344831407703516,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
73,False,"{'e': 0.48190899009020244, 'a': 0.5}",35,11,-35.78648734293049,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 1}",1
74,False,"{'e': 0.4771139155210344, 'a': 0.5}",20,0,4.975396503461223,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
75,False,"{'e': 0.4723665527410147, 'a': 0.5}",20,0,-72.0788141784849,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
76,False,"{'e': 0.46766642700990924, 'a': 0.5}",20,0,-14.24021157390793,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
77,False,"{'e': 0.46301306831122807, 'a': 0.5}",20,0,-68.18878902630499,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
78,False,"{'e': 0.4584060113052235, 'a': 0.5}",20,0,-28.863516788312907,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
79,False,"{'e': 0.45384479528235583, 'a': 0.5}",20,0,-5.8138832570198735,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
80,False,"{'e': 0.44932896411722156, 'a': 0.5}",20,0,-56.092226279693875,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
81,False,"{'e': 0.4448580662229411, 'a': 0.5}",20,9,10.619671882121196,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'e': 0.44043165450599925, 'a': 0.5}",20,12,6.621827544710526,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
83,False,"{'e': 0.43604928632153556, 'a': 0.5}",25,11,-15.77234032178122,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
84,False,"{'e': 0.43171052342907973, 'a': 0.5}",25,0,-39.397286346191905,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
85,False,"{'e': 0.4274149319487267, 'a': 0.5}",25,7,8.801229480007445,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
86,False,"{'e': 0.4231620823177488, 'a': 0.5}",20,8,-64.89765530014354,"{0: 9, 1: 0, 2: 0, 3: 2, 4: 1}",1
87,False,"{'e': 0.418951549247639, 'a': 0.5}",25,1,15.96623767232866,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
88,False,"{'e': 0.4147829116815814, 'a': 0.5}",35,17,-8.261276001192673,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
89,False,"{'e': 0.4106557527523455, 'a': 0.5}",20,5,12.173325085939169,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'e': 0.4065696597405991, 'a': 0.5}",30,0,-3.608915448702726,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
91,False,"{'e': 0.40252422403363597, 'a': 0.5}",30,20,6.874615228883235,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'e': 0.39851904108451414, 'a': 0.5}",20,16,7.629968451972694,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'e': 0.3945537103716011, 'a': 0.5}",20,0,-33.31129197310254,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
94,False,"{'e': 0.3906278353585211, 'a': 0.5}",25,4,24.817660786714317,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
95,False,"{'e': 0.3867410234545012, 'a': 0.5}",20,16,7.752860424912014,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'e': 0.38289288597511206, 'a': 0.5}",25,3,-23.772185924583955,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 1}",1
97,False,"{'e': 0.37908303810339883, 'a': 0.5}",20,13,5.739653182768736,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'e': 0.37531109885139957, 'a': 0.5}",20,1,-0.6802231537734995,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
99,False,"{'e': 0.3715766910220457, 'a': 0.5}",30,15,-27.120872634560783,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
100,False,"{'e': 0.36787944117144233, 'a': 0.5}",20,14,12.316896897940829,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'e': 0.3642189795715233, 'a': 0.5}",25,0,-37.70375551631491,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
102,False,"{'e': 0.3605949401730783, 'a': 0.5}",20,13,5.188326750782908,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
103,False,"{'e': 0.3570069605691474, 'a': 0.5}",30,0,-44.45308242256744,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
104,False,"{'e': 0.35345468195878016, 'a': 0.5}",30,21,-10.98415050991856,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
105,False,"{'e': 0.3499377491111553, 'a': 0.5}",25,13,-3.93969938950779,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
106,False,"{'e': 0.3464558103300574, 'a': 0.5}",20,11,12.060287660297572,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
107,False,"{'e': 0.34300851741870664, 'a': 0.5}",20,10,-96.50305521611428,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 2}",1
108,False,"{'e': 0.3395955256449391, 'a': 0.5}",30,9,-26.86406427530307,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 0}",1
109,False,"{'e': 0.33621649370673334, 'a': 0.5}",20,13,5.801086507936438,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'e': 0.33287108369807955, 'a': 0.5}",25,13,-8.027335949111738,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
111,False,"{'e': 0.32955896107518906, 'a': 0.5}",20,12,3.1778695952609106,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'e': 0.32627979462303947, 'a': 0.5}",20,12,-28.094951169891704,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
113,False,"{'e': 0.3230332564222529, 'a': 0.5}",25,9,9.925656657144595,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
114,False,"{'e': 0.31981902181630384, 'a': 0.5}",30,0,-12.720746980235246,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
115,False,"{'e': 0.31663676937905316, 'a': 0.5}",20,15,9.419254220180218,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'e': 0.3134861808826053, 'a': 0.5}",20,15,4.356463933083344,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'e': 0.31036694126548503, 'a': 0.5}",20,0,5.884587326058058,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
118,False,"{'e': 0.30727873860113125, 'a': 0.5}",25,0,-49.65507373682495,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
119,False,"{'e': 0.3042212640667041, 'a': 0.5}",20,12,-66.95832548377761,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
120,False,"{'e': 0.30119421191220214, 'a': 0.5}",30,14,0.8880303308452306,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
121,False,"{'e': 0.2981972794298874, 'a': 0.5}",20,3,-0.015783587428919166,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
122,False,"{'e': 0.2952301669240142, 'a': 0.5}",25,16,-3.176746728116088,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
123,False,"{'e': 0.2922925776808594, 'a': 0.5}",25,7,-37.5780227193777,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
124,False,"{'e': 0.2893842179390506, 'a': 0.5}",20,0,-18.83526510307706,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
125,False,"{'e': 0.2865047968601901, 'a': 0.5}",35,25,-25.094820814830495,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
126,False,"{'e': 0.2836540264997704, 'a': 0.5}",25,0,5.974806485374894,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
127,False,"{'e': 0.2808316217783798, 'a': 0.5}",25,7,-24.869633502995505,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
128,False,"{'e': 0.27803730045319414, 'a': 0.5}",20,11,-5.608128119851245,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
129,False,"{'e': 0.27527078308975234, 'a': 0.5}",30,8,-9.608203688416722,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
130,False,"{'e': 0.2725317930340126, 'a': 0.5}",30,14,17.333472526312985,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'e': 0.2698200563846868, 'a': 0.5}",35,21,-11.191821134974449,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
132,False,"{'e': 0.26713530196585034, 'a': 0.5}",20,0,12.590223616459195,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
133,False,"{'e': 0.26447726129982396, 'a': 0.5}",25,3,-8.803792481230307,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
134,False,"{'e': 0.261845668580326, 'a': 0.5}",25,16,13.767061613343888,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'e': 0.2592402606458915, 'a': 0.5}",20,2,-28.654191206981046,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
136,False,"{'e': 0.2566607769535559, 'a': 0.5}",20,9,20.409237597383157,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'e': 0.25410695955280027, 'a': 0.5}",20,6,19.043141264253453,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'e': 0.25157855305975646, 'a': 0.5}",20,2,23.360534499191854,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
139,False,"{'e': 0.24907530463166816, 'a': 0.5}",20,0,-22.03604574631956,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
